epoch,dense_1_accuracy,dense_1_loss,dense_3_accuracy,dense_3_loss,dense_4_accuracy,dense_4_loss,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_3_accuracy,val_dense_3_loss,val_dense_4_accuracy,val_dense_4_loss,val_loss
0,0.8524482846260071,0.4439590275287628,0.8310517072677612,0.502560019493103,0.7123793363571167,0.8329695463180542,1.1169250011444092,0.9800000190734863,0.07262091338634491,0.9789999723434448,0.07809361070394516,0.9555000066757202,0.1398407518863678,0.18505516648292542
1,0.9689483046531677,0.10336607694625854,0.9658103585243225,0.11321651935577393,0.9566724300384521,0.14445561170578003,0.20943017303943634,0.9884999990463257,0.04257237911224365,0.9890000224113464,0.04597831517457962,0.9750000238418579,0.07712995260953903,0.10369516909122467
2,0.9777586460113525,0.07518641650676727,0.9759482741355896,0.07914992421865463,0.9728620648384094,0.08936996012926102,0.13567084074020386,0.9879999756813049,0.03623994439840317,0.9900000095367432,0.03956726938486099,0.9829999804496765,0.06137645244598389,0.08411861211061478
3,0.9818965792655945,0.06009763479232788,0.9807931184768677,0.06289863586425781,0.9785000085830688,0.07083990424871445,0.10773869603872299,0.9919999837875366,0.033870819956064224,0.9869999885559082,0.04901773855090141,0.9629999995231628,0.12120473384857178,0.14607129991054535
4,0.9835172295570374,0.05393292009830475,0.9827930927276611,0.05725271627306938,0.9816034436225891,0.059999775141477585,0.09335549920797348,0.9925000071525574,0.035036247223615646,0.9904999732971191,0.037866584956645966,0.9904999732971191,0.034346144646406174,0.05621699243783951
5,0.985775887966156,0.046323321759700775,0.9847068786621094,0.05009815841913223,0.9830172657966614,0.05544203892350197,0.08436848968267441,0.9929999709129333,0.03094784915447235,0.9869999885559082,0.04307107254862785,0.9894999861717224,0.03761385381221771,0.059819530695676804
6,0.9863965511322021,0.04434896633028984,0.9858103394508362,0.04709819331765175,0.9848965406417847,0.048658281564712524,0.0760924369096756,0.987500011920929,0.04912904277443886,0.987500011920929,0.04254003241658211,0.9900000095367432,0.03685013949871063,0.06435085833072662
7,0.98813796043396,0.03843848779797554,0.9870344996452332,0.04149450361728668,0.9863103628158569,0.043800875544548035,0.0677807554602623,0.9915000200271606,0.03455550968647003,0.9940000176429749,0.027434512972831726,0.9904999732971191,0.032589104026556015,0.051186107099056244
8,0.9893448352813721,0.03455587849020958,0.9880862236022949,0.0382068008184433,0.9878275990486145,0.03952087089419365,0.06134969741106033,0.9904999732971191,0.040803227573633194,0.9950000047683716,0.030320851132273674,0.9940000176429749,0.03147676959633827,0.05281399190425873
9,0.9898103475570679,0.03383168205618858,0.9886206984519958,0.03677435964345932,0.9890516996383667,0.03580028936266899,0.05698208510875702,0.9909999966621399,0.03645041212439537,0.9950000047683716,0.02465093322098255,0.9934999942779541,0.028149329125881195,0.046479731798172
10,0.9903793334960938,0.031303003430366516,0.9904137849807739,0.03219194710254669,0.9901379346847534,0.03088114969432354,0.04992962256073952,0.9934999942779541,0.03655030578374863,0.9965000152587891,0.021219801157712936,0.9934999942779541,0.024723470211029053,0.04205450415611267
11,0.9912068843841553,0.029351333156228065,0.9905344843864441,0.030810875818133354,0.9898620843887329,0.031327493488788605,0.049376197159290314,0.9915000200271606,0.03085952252149582,0.9925000071525574,0.030987266451120377,0.9934999942779541,0.032183121889829636,0.050737164914608
12,0.9912931323051453,0.02864626608788967,0.9913965463638306,0.02823600359261036,0.9909310340881348,0.029545988887548447,0.04661071300506592,0.9955000281333923,0.025717822834849358,0.9959999918937683,0.021835017949342728,0.9955000281333923,0.022634780034422874,0.03690063953399658
13,0.9919310212135315,0.025891249999403954,0.9918103218078613,0.02672327682375908,0.9916896820068359,0.026310276240110397,0.0420946441590786,0.9940000176429749,0.026381004601716995,0.9959999918937683,0.024049464613199234,0.9955000281333923,0.0237568449229002,0.03888598456978798
14,0.992344856262207,0.02509874850511551,0.9914655089378357,0.02853706106543541,0.9919137954711914,0.026889000087976456,0.04297973960638046,0.9934999942779541,0.04247947782278061,0.9944999814033508,0.0297442227602005,0.987500011920929,0.053332891315221786,0.07500000298023224
15,0.9930344820022583,0.0228003840893507,0.9924482703208923,0.02348567545413971,0.9926551580429077,0.022867245599627495,0.036753054708242416,0.9955000281333923,0.02578466758131981,0.9965000152587891,0.018194029107689857,0.9909999966621399,0.04592222720384598,0.05911583825945854
16,0.992844820022583,0.02358403429389,0.9927068948745728,0.023854756727814674,0.9934482574462891,0.021497711539268494,0.03572937101125717,0.9950000047683716,0.03150644898414612,0.9965000152587891,0.02312684990465641,0.9940000176429749,0.03185585141181946,0.04824584722518921
17,0.9928275942802429,0.022733699530363083,0.992258608341217,0.02389073185622692,0.9915344715118408,0.025468777865171432,0.039456117898225784,0.9950000047683716,0.032041508704423904,0.9975000023841858,0.021799808368086815,0.9934999942779541,0.03239045292139053,0.048542849719524384
18,0.9938275814056396,0.019967295229434967,0.9936379194259644,0.01998123526573181,0.9933965802192688,0.019728204235434532,0.031712763011455536,0.9965000152587891,0.026170678436756134,0.9955000281333923,0.023159420117735863,0.9919999837875366,0.041690219193696976,0.0564892552793026
19,0.9940000176429749,0.01933818683028221,0.9938793182373047,0.020518526434898376,0.9930517077445984,0.020080382004380226,0.03203736990690231,0.9934999942779541,0.0419841930270195,0.9955000281333923,0.030146807432174683,0.9929999709129333,0.0384860634803772,0.06012536585330963
20,0.9949310421943665,0.01737646386027336,0.9942758679389954,0.0188802070915699,0.9942413568496704,0.01789919286966324,0.028776198625564575,0.9959999918937683,0.03368082642555237,0.9950000047683716,0.020709121599793434,0.9925000071525574,0.028570590540766716,0.04488757625222206
21,0.9944827556610107,0.01854255236685276,0.9943448305130005,0.01862860471010208,0.9948793053627014,0.016908960416913033,0.02806028723716736,0.9950000047683716,0.03597024083137512,0.9959999918937683,0.028535692021250725,0.9944999814033508,0.0306966882199049,0.050048474222421646
22,0.9938275814056396,0.019191455096006393,0.9939655065536499,0.020265774801373482,0.994034469127655,0.018069729208946228,0.029906900599598885,0.9959999918937683,0.03248235955834389,0.9944999814033508,0.03292963281273842,0.9900000095367432,0.04691031947731972,0.06653391569852829
23,0.995258629322052,0.015187425538897514,0.9949827790260315,0.017171183601021767,0.9950861930847168,0.015279080718755722,0.024986661970615387,0.9955000281333923,0.031661029905080795,0.9959999918937683,0.028524408116936684,0.9955000281333923,0.022419247776269913,0.04047488048672676
24,0.9950344562530518,0.01677902229130268,0.9942586421966553,0.01934218592941761,0.9946379065513611,0.016326606273651123,0.027162976562976837,0.9959999918937683,0.03398292884230614,0.9959999918937683,0.031069178134202957,0.9944999814033508,0.02537865936756134,0.04489429295063019
25,0.9945172667503357,0.016703112050890923,0.9949827790260315,0.016088973730802536,0.9953965544700623,0.014953270554542542,0.024790888652205467,0.9959999918937683,0.029172025620937347,0.9959999918937683,0.023509664461016655,0.9955000281333923,0.022165626287460327,0.03797013312578201
26,0.9950344562530518,0.01481879223138094,0.9952414035797119,0.016140028834342957,0.9957241415977478,0.013185827061533928,0.022473474964499474,0.9929999709129333,0.055872440338134766,0.9900000095367432,0.06459829211235046,0.9909999966621399,0.04983967915177345,0.08598090708255768
27,0.9950172305107117,0.016376754269003868,0.9953965544700623,0.015167775563895702,0.9949827790260315,0.014935788698494434,0.024399148300290108,0.9965000152587891,0.02433002181351185,0.9955000281333923,0.02706744521856308,0.9940000176429749,0.02580491453409195,0.0412241593003273
28,0.9955689907073975,0.016761818900704384,0.9955517053604126,0.014513925649225712,0.9955344796180725,0.014244883321225643,0.02362758480012417,0.9959999918937683,0.026683691889047623,0.9944999814033508,0.032684773206710815,0.9955000281333923,0.024279490113258362,0.0420900322496891
