epoch,dense_1_accuracy,dense_1_loss,dense_3_accuracy,dense_3_loss,dense_4_accuracy,dense_4_loss,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_3_accuracy,val_dense_3_loss,val_dense_4_accuracy,val_dense_4_loss,val_loss
0,0.2984791696071625,1.9120876789093018,0.289249986410141,1.8994544744491577,0.2510208189487457,1.9518290758132935,3.0952906608581543,0.42899999022483826,1.5420680046081543,0.3959999978542328,1.6058976650238037,0.359499990940094,1.6681615114212036,2.612550973892212
1,0.4574374854564667,1.4839744567871094,0.4546875059604645,1.4744333028793335,0.4244583249092102,1.5397459268569946,2.4272677898406982,0.531000018119812,1.3029969930648804,0.5230000019073486,1.3218461275100708,0.503000020980835,1.3782180547714233,2.165670871734619
2,0.5373333096504211,1.2894090414047241,0.5512916445732117,1.2382144927978516,0.5331041812896729,1.2709254026412964,2.02921199798584,0.578000009059906,1.1796437501907349,0.609499990940094,1.0762652158737183,0.6134999990463257,1.1052472591400146,1.782020092010498
3,0.5898749828338623,1.1570243835449219,0.6072291731834412,1.0952579975128174,0.6037291884422302,1.1030428409576416,1.7787266969680786,0.6284999847412109,1.0751478672027588,0.659500002861023,0.9773979783058167,0.6520000100135803,0.9843312501907349,1.6000949144363403
4,0.620229184627533,1.0702900886535645,0.6458125114440918,0.9963276982307434,0.6458958387374878,0.9877833127975464,1.6077690124511719,0.6660000085830688,0.9846227169036865,0.6859999895095825,0.8968820571899414,0.6949999928474426,0.8833183646202087,1.4477698802947998
5,0.6466875076293945,1.0033921003341675,0.6740833520889282,0.9253027439117432,0.6794583201408386,0.9024596214294434,1.481067419052124,0.6800000071525574,0.9188868999481201,0.7120000123977661,0.8358816504478455,0.7039999961853027,0.8246378898620605,1.3510684967041016
6,0.667229175567627,0.9506819844245911,0.6933958530426025,0.8677223324775696,0.7008125185966492,0.8437714576721191,1.3892923593521118,0.6984999775886536,0.8876766562461853,0.7179999947547913,0.8181315064430237,0.7275000214576721,0.8117506504058838,1.3234930038452148
7,0.6809999942779541,0.9104467034339905,0.7095208168029785,0.8217176198959351,0.7227083444595337,0.785321056842804,1.3049707412719727,0.6504999995231628,0.9668211340904236,0.7129999995231628,0.8015073537826538,0.7005000114440918,0.8180927634239197,1.3485913276672363
8,0.6947291493415833,0.8719248175621033,0.7255208492279053,0.7797867655754089,0.7383750081062317,0.7386322617530823,1.2341457605361938,0.7085000276565552,0.8462879657745361,0.7279999852180481,0.7884294390678406,0.7294999957084656,0.7676827311515808,1.2580981254577637
9,0.7045416831970215,0.8464012742042542,0.7356041669845581,0.7495034337043762,0.7510416507720947,0.7060023546218872,1.1847724914550781,0.7059999704360962,0.8374621868133545,0.734499990940094,0.7530741095542908,0.7409999966621399,0.7323381900787354,1.2094990015029907
10,0.7147291898727417,0.8162071704864502,0.7478333115577698,0.7200250625610352,0.7637291550636292,0.6683337688446045,1.1292030811309814,0.7129999995231628,0.8112248182296753,0.7404999732971191,0.730751097202301,0.7574999928474426,0.6838955283164978,1.1464881896972656
11,0.7254166603088379,0.7910733222961426,0.757520854473114,0.6893095970153809,0.7751458287239075,0.6357855796813965,1.0799002647399902,0.7239999771118164,0.8219125866889954,0.7509999871253967,0.7296401262283325,0.7319999933242798,0.7610801458358765,1.226546049118042
12,0.7325208187103271,0.7670221328735352,0.7670416831970215,0.6643324494361877,0.7868124842643738,0.6055508852005005,1.0349571704864502,0.703499972820282,0.8385829925537109,0.7450000047683716,0.7717016339302063,0.7365000247955322,0.7437462210655212,1.2268317937850952
13,0.7360000014305115,0.7624083757400513,0.7706249952316284,0.6517812013626099,0.7919374704360962,0.5893735885620117,1.0136302709579468,0.7279999852180481,0.80976802110672,0.746999979019165,0.7422301769256592,0.7484999895095825,0.744497537612915,1.210097074508667
