epoch,accuracy,loss,val_accuracy,val_loss
0,0.406187504529953,1.6198049783706665,0.4740000069141388,1.4706850051879883
1,0.5876250267028809,1.151323676109314,0.5644999742507935,1.2095131874084473
2,0.6655833125114441,0.9498674869537354,0.6085000038146973,1.1956076622009277
3,0.7173749804496765,0.8087635636329651,0.6865000128746033,0.9503387212753296
4,0.7590208053588867,0.694898247718811,0.5264999866485596,1.7964601516723633
5,0.7895416617393494,0.6027780175209045,0.6165000200271606,1.2091090679168701
6,0.824791669845581,0.5074136853218079,0.7289999723434448,0.813239574432373
7,0.8541250228881836,0.4230899214744568,0.7515000104904175,0.841963529586792
8,0.8812708258628845,0.34635668992996216,0.7480000257492065,0.8216509819030762
9,0.9045624732971191,0.2778991460800171,0.7285000085830688,0.9358348250389099
10,0.9259583353996277,0.2163752168416977,0.7699999809265137,0.9022168517112732
11,0.9391458630561829,0.18016257882118225,0.703499972820282,1.2815603017807007
12,0.949833333492279,0.146077498793602,0.6894999742507935,1.4763188362121582
13,0.9572291374206543,0.12236502766609192,0.7524999976158142,1.137933611869812
14,0.964187502861023,0.10618377476930618,0.7580000162124634,1.1031157970428467
15,0.9664791822433472,0.09872985631227493,0.7425000071525574,1.2430822849273682
16,0.9703541398048401,0.08784448355436325,0.7695000171661377,1.1096444129943848
17,0.9715416431427002,0.0822342187166214,0.765500009059906,1.0538843870162964
18,0.9735000133514404,0.07828988134860992,0.7335000038146973,1.3946117162704468
19,0.976187527179718,0.07353784143924713,0.7229999899864197,1.522922396659851
20,0.9783333539962769,0.06517984718084335,0.7279999852180481,1.4107756614685059
21,0.9782916903495789,0.06437526643276215,0.7409999966621399,1.3688302040100098
22,0.9791041612625122,0.06300650537014008,0.7599999904632568,1.3002564907073975
23,0.9806249737739563,0.059728529304265976,0.7455000281333923,1.2332923412322998
24,0.9804375171661377,0.0578271746635437,0.7549999952316284,1.2103090286254883
25,0.9832500219345093,0.049946997314691544,0.7534999847412109,1.3639637231826782
26,0.9825000166893005,0.053461745381355286,0.7720000147819519,1.1862932443618774
27,0.9830833077430725,0.05166260153055191,0.7559999823570251,1.3956032991409302
28,0.9839583039283752,0.04731456935405731,0.7689999938011169,1.2065211534500122
29,0.984333336353302,0.04672817140817642,0.7689999938011169,1.3089003562927246
30,0.9856458306312561,0.04391169920563698,0.718500018119812,1.555777907371521
31,0.984499990940094,0.045236486941576004,0.7795000076293945,1.2415740489959717
32,0.9875208139419556,0.03937772288918495,0.7599999904632568,1.3864532709121704
33,0.9859583377838135,0.04319612681865692,0.7354999780654907,1.54471755027771
34,0.987666666507721,0.037051357328891754,0.753000020980835,1.4056998491287231
35,0.9867916703224182,0.040286436676979065,0.7630000114440918,1.3613744974136353
36,0.987291693687439,0.038100410252809525,0.7664999961853027,1.3060264587402344
37,0.9896875023841858,0.03230410814285278,0.7304999828338623,1.6014370918273926
38,0.9886666536331177,0.03535960614681244,0.7760000228881836,1.2756950855255127
39,0.9893541932106018,0.033803943544626236,0.7580000162124634,1.591193437576294
